sub,Auditory,CinguloOpercular/Action-mode,Default_Anterolateral,Default_Dorsolateral,Default_Parietal,Default_Retrosplenial,DorsalAttention,Frontoparietal,Language,MedialParietal,Premotor/DorsalAttentionII,Salience,SomatoCognitiveAction,Somatomotor_Face,Somatomotor_Foot,Somatomotor_Hand,Visual_Dorsal/VentralStream,Visual_Lateral,Visual_V1,Visual_V5
14185,3.60,18.64,2.35,4.09,5.66,3.55,2.61,8.91,11.28,1.32,4.81,2.86,1.29,2.90,4.49,1.51,6.48,6.99,5.03,1.63
14187,5.71,20.27,2.44,2.65,7.51,3.17,8.47,14.31,5.35,0.47,4.01,4.93,0.68,1.55,2.76,3.59,1.22,5.63,4.37,0.92
14202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14205,2.80,13.98,6.24,4.48,8.65,6.53,8.50,7.90,6.27,1.71,4.16,2.70,0.34,1.69,3.28,2.85,6.54,7.18,3.60,0.60
14206,4.07,11.75,2.23,5.18,7.45,5.02,4.85,19.96,6.09,2.75,4.19,4.37,0.40,2.52,2.55,2.09,2.37,6.65,4.57,0.96
14210,2.55,18.68,0.06,NA,1.74,0.22,17.26,0.13,1.68,3.56,20.25,0.93,0.72,NA,13.01,7.27,2.04,9.91,NA,NA
14211,3.84,21.12,5.15,0.82,6.64,4.88,1.86,8.01,9.39,1.81,6.35,5.03,1.93,0.88,3.23,1.37,3.29,8.73,4.84,0.84
14213,4.56,14.83,1.90,2.75,10.29,9.10,3.95,16.83,3.97,2.50,1.70,5.22,NA,2.81,0.75,2.98,4.27,5.99,3.57,2.03
14226,1.98,11.19,5.81,1.77,9.44,3.78,9.49,11.37,8.75,3.50,2.14,3.81,0.85,4.13,4.46,1.76,3.28,6.97,4.03,1.46
14236,6.96,12.05,6.51,7.73,6.65,2.66,5.75,9.21,6.96,2.36,2.71,2.24,1.39,2.99,3.34,4.03,0.57,8.68,3.09,4.13
14241,4.76,13.03,3.39,1.32,10.53,8.92,7.47,10.48,5.77,0.85,4.75,2.35,0.30,3.81,4.71,1.51,5.77,6.53,2.83,0.92
14245,5.96,14.56,3.44,3.36,5.92,4.07,3.28,6.62,12.67,2.10,3.69,4.50,0.61,4.42,3.52,2.02,6.48,7.30,3.76,1.72
14249,4.73,11.75,5.15,3.93,13.48,3.85,5.37,8.26,3.70,0.65,3.85,7.08,1.61,2.07,3.46,2.69,4.44,9.50,3.22,1.21
14251,1.66,10.37,6.89,4.01,7.42,6.98,6.66,12.41,8.66,3.83,1.21,2.85,0.58,2.56,4.46,2.76,4.44,8.29,3.78,0.17
14255,2.65,12.55,3.58,5.76,10.24,4.83,5.40,10.66,6.56,1.89,2.78,4.08,1.31,2.84,1.89,1.28,6.26,11.07,3.07,1.30
14265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14284,4.87,10.95,9.87,4.13,14.93,5.24,5.42,8.26,9.48,1.11,5.98,4.10,1.52,2.52,2.93,1.50,1.00,2.78,2.10,1.31
14285,4.93,6.28,3.63,6.59,14.78,3.00,6.43,10.95,8.41,0.88,2.14,2.94,1.67,6.39,4.00,4.24,2.00,5.72,4.39,0.63
14294,5.62,14.31,5.01,6.62,11.73,6.12,1.90,12.35,5.62,2.63,2.78,3.91,1.43,2.57,3.43,2.39,3.63,3.01,4.50,0.44
14295,6.20,11.99,2.86,5.92,8.19,1.73,6.27,11.71,5.54,1.44,1.73,5.38,NA,3.01,4.43,4.13,3.79,8.51,5.80,1.36
14303,4.66,11.55,4.15,4.96,10.99,7.78,3.28,11.97,7.45,3.01,2.78,3.56,0.09,3.29,3.59,2.75,3.80,5.62,3.58,1.13
14312,4.33,8.72,6.30,0.58,13.08,6.79,7.15,8.23,5.01,2.08,3.33,7.63,0.79,3.28,3.16,2.20,3.76,9.08,3.19,1.31
14316,2.48,5.88,4.72,5.38,9.12,4.51,10.77,10.52,2.44,2.05,1.39,7.00,1.05,4.75,3.91,4.03,6.15,8.34,5.08,0.43
14319,3.13,12.05,6.07,6.44,9.71,5.95,6.93,12.29,4.00,1.98,2.96,3.86,0.46,2.16,3.52,2.88,3.68,8.86,2.27,0.78
14322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14328,3.01,11.24,6.65,5.19,9.10,6.67,4.95,12.42,7.18,2.84,2.76,3.31,0.71,2.56,3.84,2.89,5.76,4.37,3.95,0.61
14333,4.28,11.29,3.61,6.45,3.64,4.51,7.56,15.11,3.24,1.29,6.79,5.27,0.52,2.72,3.31,2.76,3.20,8.24,4.52,1.68
14336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27999,4.11,18.13,3.67,1.55,12.06,6.51,5.72,7.21,1.71,1.23,2.52,6.68,0.33,3.66,4.07,3.35,3.08,10.14,3.62,0.67
28001,4.12,13.70,2.05,0.91,7.49,10.77,3.24,4.72,5.59,0.84,6.36,6.24,1.72,6.07,6.68,2.33,4.61,8.46,3.16,0.95
28003,4.75,15.91,3.38,1.96,7.67,6.59,7.32,6.46,5.69,0.47,6.08,3.63,0.63,4.37,2.92,2.38,5.40,8.08,4.62,1.68
28004,3.98,14.75,2.91,2.48,3.08,6.20,4.74,8.83,6.90,1.44,3.97,9.17,1.01,2.86,4.27,2.28,5.39,9.20,4.64,1.87
28034,1.83,6.27,4.68,5.38,7.06,8.20,5.06,13.21,3.18,2.90,2.51,5.19,0.56,4.76,6.31,3.99,4.22,10.31,2.91,1.49
28043,4.26,18.07,7.03,5.25,13.68,9.42,7.07,4.61,0.71,0.75,3.95,3.38,0.26,2.60,1.52,1.27,4.09,8.14,2.76,1.18
28096,4.53,9.11,3.28,1.33,9.79,9.53,1.59,6.76,10.08,1.20,2.94,3.92,1.33,3.16,1.93,2.87,5.37,13.36,5.60,2.34
28129,3.68,15.71,7.53,6.33,10.32,6.30,3.04,6.91,4.60,2.02,3.38,5.49,0.64,2.28,2.14,1.37,4.93,9.00,2.92,1.41
28132,4.15,9.09,6.67,4.17,6.74,5.93,5.91,8.53,5.60,1.34,3.45,5.90,1.33,2.68,3.99,3.30,7.01,7.78,4.99,1.43
28146,4.38,14.22,2.13,6.39,9.86,6.37,3.00,13.99,5.08,2.65,5.33,3.19,0.66,1.44,2.68,2.46,3.30,6.28,5.31,1.28
28167,4.89,16.17,1.66,1.81,5.23,5.78,11.89,15.30,7.52,1.38,5.78,5.40,0.42,3.29,3.64,3.01,0.93,1.57,3.07,1.26
28176,4.42,10.72,5.34,4.70,4.77,5.54,5.97,13.10,5.83,3.38,2.36,4.18,0.18,3.40,6.21,3.17,5.29,8.11,2.31,1.00
28177,3.28,18.91,3.33,1.98,5.64,4.53,4.59,9.67,5.25,1.79,4.81,7.04,0.85,1.69,2.64,1.69,5.54,11.40,3.91,1.45
28178,3.18,26.92,3.18,1.34,3.73,2.66,5.53,9.32,7.88,1.18,3.45,5.09,0.92,3.21,2.37,1.13,3.75,9.24,5.05,0.86
28265,2.06,12.48,5.16,5.65,13.51,2.35,7.77,8.65,1.70,1.81,3.61,3.93,1.99,3.21,3.58,0.92,4.42,9.26,5.88,2.04
28275,2.04,12.04,4.43,5.97,4.80,5.11,4.35,19.24,4.01,2.74,3.77,5.02,0.64,2.79,3.55,3.24,5.00,6.05,5.05,0.15
28279,3.25,14.37,5.11,1.81,5.61,4.13,10.36,12.86,10.78,0.56,3.09,1.33,2.16,1.99,2.01,1.55,5.90,6.11,4.41,2.61
28280,4.35,11.32,4.52,5.07,11.21,6.90,2.39,10.92,6.55,3.52,3.72,4.18,0.05,2.67,2.18,3.43,4.03,8.02,4.72,0.24
28281,2.14,5.83,6.67,3.65,7.75,7.37,9.03,15.43,2.26,3.75,0.54,6.49,0.73,3.79,3.15,1.91,2.72,10.86,5.40,0.53
28282,3.95,7.50,2.18,1.90,12.32,5.74,5.85,10.24,5.37,1.25,11.46,3.60,0.35,4.36,1.98,2.17,7.75,7.13,3.50,1.40
28284,5.12,14.05,6.59,3.71,4.79,2.44,7.92,3.58,9.49,1.95,3.15,4.60,0.28,2.46,4.31,2.99,5.99,11.13,3.53,1.92
28289,4.06,15.95,3.64,3.40,11.25,6.75,7.70,3.91,2.09,2.40,6.66,4.69,1.21,3.29,4.56,1.25,4.13,8.43,3.37,1.26
28291,3.23,15.13,3.54,4.02,10.32,2.69,8.75,10.90,6.47,1.43,3.46,5.85,0.75,3.88,3.17,2.17,3.65,6.29,2.50,1.81
28292,2.49,11.51,7.40,1.93,9.25,6.96,2.60,10.46,5.63,3.22,3.45,3.11,0.90,3.90,3.04,1.21,7.17,9.21,4.58,1.98
28297,4.21,10.89,4.26,6.79,6.03,3.00,4.66,10.67,9.25,1.91,3.21,4.50,0.64,3.66,5.06,2.66,4.28,9.12,3.54,1.66
28299,6.98,17.81,3.07,2.81,5.84,1.83,10.69,6.28,6.01,2.53,1.39,3.86,0.36,4.02,3.77,1.41,6.56,8.72,4.62,1.43
28307,3.75,15.73,3.93,5.66,12.38,5.76,3.86,9.61,5.59,2.13,2.59,3.07,1.17,2.74,2.70,2.49,4.24,7.91,3.59,1.12
28308,4.10,16.92,1.52,2.49,5.49,4.21,7.59,9.27,7.00,1.68,3.40,5.22,1.55,3.17,2.01,2.92,5.37,10.22,4.31,1.55
28312,5.69,14.56,4.29,2.89,15.20,9.28,1.18,4.68,6.82,1.18,0.95,2.93,0.15,3.68,1.22,2.12,7.80,8.96,4.98,1.44
28315,2.97,9.74,2.47,3.72,7.70,6.09,10.57,13.66,3.28,0.89,4.21,6.85,1.15,3.32,3.64,1.95,3.59,8.26,4.30,1.63
28318,4.24,15.31,6.97,4.51,5.48,3.23,2.11,13.13,6.66,1.70,3.62,3.35,0.19,2.80,2.55,2.58,7.49,9.95,3.37,0.77
28320,6.87,18.30,7.30,5.19,7.36,4.49,3.33,2.63,6.17,2.99,3.77,4.94,0.26,2.23,2.06,3.39,4.64,8.77,3.21,2.12
28323,5.11,16.17,5.61,6.83,6.38,3.51,5.52,10.67,2.89,1.62,2.12,5.79,0.47,2.35,2.66,2.86,5.55,9.30,3.40,1.19
28326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28330,4.53,17.40,3.08,2.41,3.33,4.65,4.91,12.63,5.61,1.09,4.75,4.27,0.06,4.20,4.22,3.43,4.48,9.94,2.20,2.80
28331,5.37,13.50,4.56,5.38,5.18,4.22,4.61,5.96,9.72,1.02,4.83,5.13,0.47,3.69,3.75,2.34,4.47,10.30,3.97,1.55
28332,3.95,13.98,10.40,2.89,9.92,5.90,4.47,13.57,5.33,0.54,3.79,1.03,0.56,2.19,2.42,2.54,4.36,8.40,2.31,1.44
28334,2.47,18.57,4.34,4.74,4.70,5.05,5.27,8.37,4.19,2.00,2.92,7.25,1.59,3.73,4.94,2.22,3.57,9.00,3.89,1.19
28335,4.54,15.83,4.10,4.74,6.34,4.23,7.78,8.94,6.83,0.65,4.14,3.82,NA,2.79,2.86,2.20,6.37,8.73,3.39,1.73
28339,3.39,12.68,3.30,4.61,11.24,5.60,7.38,8.01,6.77,2.16,2.66,4.03,0.17,1.70,3.94,2.53,6.02,8.02,4.15,1.65
28346,3.88,12.65,2.54,3.75,5.15,5.55,11.37,8.38,4.67,0.32,4.29,2.94,0.56,3.63,3.28,4.19,5.60,10.00,5.37,1.87
28348,3.86,15.93,3.62,4.01,7.19,3.91,3.50,12.17,5.51,2.39,1.67,3.52,0.70,4.60,2.94,1.84,8.42,8.91,3.36,1.97
28349,4.80,10.79,7.34,4.11,11.43,8.40,0.74,14.93,3.34,2.05,3.98,5.29,0.04,2.02,2.72,2.25,3.08,8.77,3.50,0.43
28354,4.62,17.71,2.67,3.50,5.84,7.46,3.82,12.44,6.26,1.67,3.31,3.55,0.73,3.22,3.63,2.37,2.38,8.43,4.43,1.95
28356,4.46,18.46,2.56,2.31,4.74,3.09,6.77,14.57,7.20,2.28,4.51,5.42,0.44,2.47,1.55,2.44,4.24,7.83,3.46,1.19
28360,3.81,14.77,7.96,3.62,3.62,1.99,7.05,11.14,6.33,1.75,3.36,4.94,1.06,2.16,2.10,2.57,6.48,9.90,4.80,0.58
28367,4.14,12.93,2.21,7.93,4.33,3.81,8.35,14.19,5.30,1.45,5.98,3.73,2.78,2.81,4.77,3.51,3.25,3.81,3.67,1.05
28368,2.06,14.40,5.91,4.41,11.10,8.50,3.76,9.70,4.08,1.43,2.00,5.83,1.00,2.04,3.21,2.51,3.56,9.97,2.65,1.88
28371,2.31,6.45,4.44,3.49,4.30,6.37,11.52,13.81,1.75,3.48,1.27,5.39,0.62,3.65,1.98,3.02,6.96,10.75,5.72,2.70
28376,2.08,16.16,4.02,5.16,12.16,4.20,4.70,8.47,6.33,1.01,3.48,3.07,0.96,1.93,2.97,3.45,6.40,8.45,3.19,1.81
28391,2.71,17.95,7.91,2.94,13.90,6.40,3.37,4.85,3.47,1.75,2.47,2.73,0.36,2.28,3.87,4.70,4.07,8.73,3.95,1.58
28397,4.45,19.57,6.14,3.32,6.66,0.82,8.82,6.35,7.67,1.78,3.91,3.52,0.63,3.97,1.89,2.41,3.24,8.99,4.70,1.15
28402,4.05,17.08,4.75,1.77,6.23,4.84,4.87,6.75,7.67,2.53,3.45,2.32,0.73,4.63,4.73,4.07,4.18,9.38,4.27,1.71
28409,3.31,13.06,5.25,6.86,9.20,5.63,4.77,11.74,3.65,3.91,1.33,6.46,1.65,1.75,0.31,2.85,4.31,8.62,4.06,1.26
28410,3.68,21.60,1.01,1.80,2.70,1.76,10.07,7.98,4.61,2.59,2.53,11.21,1.24,4.33,2.02,2.75,4.65,7.69,4.42,1.37
28412,3.48,15.63,2.83,2.35,9.41,4.37,7.42,8.22,6.09,1.32,2.63,6.21,1.07,2.70,5.91,2.43,3.77,7.00,5.25,1.92
28413,1.71,24.02,8.27,3.95,5.04,2.13,9.18,1.55,6.13,0.43,4.65,2.84,0.89,2.62,3.11,1.95,4.84,11.05,3.96,1.68
28417,2.67,12.34,5.82,2.58,8.04,4.50,8.50,14.98,3.68,3.17,2.85,4.68,1.08,2.65,2.64,2.39,5.10,7.16,3.33,1.87
28419,3.14,12.71,5.72,7.64,9.76,8.86,4.59,7.68,3.96,1.37,7.27,3.02,0.19,1.59,2.98,2.78,3.76,7.37,4.88,0.72
28421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
