sub,Auditory,CinguloOpercular/Action-mode,Default_Anterolateral,Default_Dorsolateral,Default_Parietal,Default_Retrosplenial,DorsalAttention,Frontoparietal,Language,MedialParietal,Premotor/DorsalAttentionII,Salience,SomatoCognitiveAction,Somatomotor_Face,Somatomotor_Foot,Somatomotor_Hand,Visual_Dorsal/VentralStream,Visual_Lateral,Visual_V1,Visual_V5
28320,4.63,28.02,3.40,0.74,3.61,2.18,6.98,4.28,3.41,3.03,3.77,7.35,0.60,1.72,2.25,2.20,5.27,10.09,4.37,2.11
28323,4.15,15.99,5.08,5.01,7.45,2.88,5.82,7.80,5.14,1.86,4.06,5.80,0.21,3.03,3.27,2.36,4.21,10.45,4.55,0.88
28330,6.37,19.21,1.48,3.18,1.77,2.49,8.06,9.07,6.93,0.68,3.04,4.03,0.48,2.19,4.78,3.31,4.92,11.83,4.87,1.33
28331,4.66,17.31,1.58,4.72,4.01,1.34,5.11,6.59,8.56,2.90,4.29,5.33,0.58,3.57,4.27,3.88,6.19,10.30,2.92,1.86
28332,2.46,12.32,5.80,7.77,7.42,5.79,7.24,14.66,8.55,1.89,1.51,1.99,0.45,3.54,2.74,1.77,1.69,7.07,4.59,0.74
28334,2.59,14.04,2.68,3.81,3.73,4.63,8.99,9.18,3.96,3.62,3.76,7.80,0.94,3.37,1.95,2.96,5.36,9.94,4.59,2.11
28335,3.79,17.75,4.85,3.52,6.69,2.65,6.20,5.31,9.13,2.08,2.94,2.93,0.64,3.65,2.57,2.04,7.08,10.24,4.47,1.48
28339,4.09,10.82,2.80,5.93,12.90,6.52,4.34,12.03,4.99,1.54,3.40,2.88,0.55,1.44,2.49,3.55,6.48,7.65,3.71,1.90
28346,2.98,7.82,9.85,6.58,8.52,2.80,7.33,4.68,10.62,1.33,3.63,4.61,0.08,4.50,3.87,1.24,5.65,9.23,3.71,0.96
28349,4.70,19.21,3.03,2.93,6.41,3.17,5.97,3.54,14.25,0.40,2.69,3.10,0.46,2.37,2.82,3.17,4.27,11.05,4.67,1.80
28354,3.22,23.34,2.61,3.72,3.16,3.02,5.12,7.53,7.03,1.66,3.10,2.59,0.78,3.05,2.90,2.09,9.90,8.67,5.07,1.44
28356,3.73,16.80,3.76,3.55,5.89,1.67,6.08,10.23,3.59,1.03,3.50,4.75,1.55,4.47,3.96,2.33,5.74,11.29,3.88,2.18
28360,4.31,18.84,3.34,3.40,4.10,1.92,5.20,11.92,3.20,2.38,2.16,7.39,1.74,2.65,2.42,2.41,6.18,11.66,3.36,1.40
28367,5.21,16.06,2.56,4.30,4.66,3.51,5.92,12.66,6.10,1.09,3.20,3.72,0.13,3.15,4.82,3.34,5.87,8.37,4.85,0.48
28371,2.28,12.90,4.93,4.49,3.51,2.95,7.25,8.97,2.94,1.22,3.43,8.59,1.59,2.89,2.98,3.01,6.90,11.59,6.20,1.38
28376,2.83,14.59,0.83,7.00,8.29,1.53,8.86,8.80,5.12,1.55,3.56,2.11,0.58,3.26,3.59,3.50,8.17,9.73,4.26,1.82
28410,2.57,7.86,5.63,2.76,6.83,0.26,8.44,13.61,5.83,2.08,2.05,10.96,0.16,4.91,2.52,2.40,4.74,9.23,4.52,2.63
28412,3.86,10.91,1.95,0.97,8.17,5.19,9.68,13.66,1.94,1.52,2.13,4.28,0.85,3.82,5.71,3.63,5.11,11.12,3.39,2.08
